Date,Pas,"Distance (m)","Dénivelé (m)","Calories actives"
2017-01-27,3558,"2963,12",0,0
2017-01-26,8333,"6942,444",0,0
2017-01-25,9664,"8224,44",0,0
2017-01-24,10809,"9162,698",0,0
2017-01-23,6963,"5844,25",0,0
2017-01-22,3910,"3283,649",0,0
2017-01-21,7767,"6493,181",0,0
2017-01-20,9475,"7976,41",0,0
2017-01-19,8753,"7371,087",0,0
2017-01-18,8424,"7147,529",0,0
2017-01-17,11426,"9474,93",0,0
2017-01-16,7949,"6678,881",0,0
2017-01-15,2542,"2156,72",0,0
2017-01-14,5765,"4825,641",0,0
2017-01-13,6190,"5260,2",0,0
2017-01-12,8139,"6806,611",0,0
2017-01-11,7732,"6430,57",0,0
2017-01-10,7355,"6152,381",0,0
2017-01-09,4681,"3816,15",0,0
2017-01-08,20943,"17136,38",0,0
2017-01-07,18223,"14676,94",0,0
2017-01-06,15778,"13011,45",0,0
2017-01-05,14691,"12157,03",0,0
2017-01-04,17310,"14475,23",0,0
2017-01-03,10824,"8947,869",0,0
2017-01-02,7899,"6658,96",0,0
2017-01-01,1562,"1300,43",0,0
2016-12-31,5400,"4636,289",0,0
2016-12-30,4460,"3745,74",0,0
2016-12-29,6676,"5681,471",0,0
2016-12-28,1315,"1088,41",0,0
2016-12-27,4829,"4030,41",0,0
2016-12-26,2170,"1792,8",0,0
2016-12-25,2362,"1967,17",0,0
2016-12-24,4378,"3688,999",0,0
2016-12-23,5395,"4419,452",0,0
2016-12-22,3959,"3271,531",0,0
2016-12-21,5396,"4501,75",0,0
2016-12-20,6995,"5815,547",0,0
2016-12-19,8825,"7420,4",0,0
2016-12-18,2538,"2076,13",0,0
2016-12-17,2872,"2369,51",0,0
2016-12-16,9079,"7547,481",0,0
2016-12-15,10467,"8736,239",0,0
2016-12-14,9220,"7678,999",0,0
2016-12-13,8186,"6822,519",0,0
2016-12-12,7827,"6612,203",0,0
2016-12-11,1339,"1109,13",0,0
2016-12-10,8208,"6766,899",0,0
2016-12-09,7843,"6568,412",0,0
2016-12-08,10450,"8827,593",0,0
2016-12-07,8195,"6862,641",0,0
2016-12-06,6503,"5431,918",0,0
2016-12-05,7944,"6657,05",0,0
2016-12-04,1560,"1297,5",0,0
2016-12-03,3893,"3243,111",0,0
2016-12-02,4323,"3576,439",0,0
2016-12-01,10494,"8776,718",0,0
2016-11-30,8258,"6907,388",0,0
2016-11-29,11595,"9741,891",0,0
2016-11-28,7386,"6160,709",0,0
2016-11-27,5712,"4781,601",0,0
2016-11-26,5850,"4802,581",0,0
2016-11-25,6155,"5085,438",0,0
2016-11-24,6256,"5190,912",0,0
2016-11-23,750,"622,49",0,0
2016-11-22,14300,"12183,08",0,0
2016-11-21,6597,"5494,2",0,0
2016-11-20,4444,"3705,689",0,0
2016-11-19,4839,"3978,729",0,0
2016-11-18,9328,"7907,04",0,0
2016-11-17,8243,"6887,629",0,0
2016-11-16,12116,"10077,78",0,0
2016-11-15,11378,"9452,477",0,0
2016-11-14,6386,"5287,551",0,0
2016-11-13,4285,"3582,61",0,0
2016-11-12,3922,"3200,21",0,0
2016-11-11,8690,"7043,769",0,0
2016-11-10,9944,"8295,129",0,0
2016-11-09,11834,"9693,209",0,0
2016-11-08,16066,"13315,95",0,0
2016-11-07,12424,"10303,14",0,0
2016-11-06,7444,"6222,112",0,0
2016-11-05,7665,"6373,112",0,0
2016-11-04,10453,"8778,213",0,0
2016-11-03,12888,"10852,6",0,0
2016-11-02,6732,"5635,02",0,0
2016-11-01,1245,"1022,79",0,0
2016-10-31,6370,"5275,92",0,0
2016-10-30,769,"633,17",0,0
2016-10-29,6410,"5291,059",0,0
2016-10-28,9535,"7892,82",0,0
2016-10-27,8073,"6741,79",0,0
2016-10-26,6749,"5587,27",0,0
2016-10-25,8371,"6860,35",0,0
2016-10-24,10014,"8287,34",0,0
2016-10-23,3067,"2517,031",0,0
2016-10-22,9109,"7211,493",0,0
2016-10-21,6291,"5039,012",0,0
2016-10-20,5086,"4166,46",0,0
2016-10-19,2359,"1857,14",0,0
2016-10-18,5692,"4645,392",0,0
2016-10-17,6599,"5406,856",0,0
2016-10-16,0,0,0,0
2016-10-15,1964,"1668,993",0,0
2016-10-14,7794,"6312,526",0,0
2016-10-13,6591,"5292,055",0,0
2016-10-12,8531,"6930,953",0,0
2016-10-11,5752,"4666,674",0,0
2016-10-10,5182,"4177,314",0,0
2016-10-09,7952,"6421,601",0,0
2016-10-08,7482,"6080,576",0,0
2016-10-07,8676,"7144,016",0,0
2016-10-06,5640,"4541,107",0,0
2016-10-05,9260,"7564,023",0,0
2016-10-04,5227,"4249,59",0,0
2016-10-03,5910,"4795,148",0,0
2016-10-02,4046,"3149,049",0,0
2016-10-01,984,"766,609",0,0
2016-09-30,7657,"6163,89",0,0
2016-09-29,14000,"11168,81",0,0
2016-09-28,9022,"7205,071",0,0
2016-09-27,13747,"11135,76",0,0
2016-09-26,8029,"6477,097",0,0
2016-09-25,21517,"17193,55",0,0
2016-09-24,3210,"2623,819",0,0
2016-09-23,6875,"5592,478",0,0
