Début,Fin,"léger (s)","profond (s)","rem (s)","éveillé (s)",réveils
"2016-10-21 23:17","2016-10-22 08:36",17820,14940,0,780,2
"2016-10-23 00:16","2016-10-23 08:39",19440,10080,0,660,1
"2016-10-23 23:19","2016-10-24 06:29",15480,9540,0,780,2
"2016-10-24 23:45","2016-10-25 06:16",15420,7380,0,660,1
"2016-10-25 23:57","2016-10-26 06:32",14940,8160,0,600,1
"2016-10-26 23:44","2016-10-27 06:39",15240,8640,0,1020,3
"2016-10-27 23:39","2016-10-28 06:52",14640,10320,0,1020,2
"2016-10-29 01:14","2016-10-29 10:17",16560,15600,0,420,1
"2016-10-30 00:00","2016-10-30 10:06",25920,13740,0,300,1
"2016-10-30 23:52","2016-10-31 09:23",20041,14159,0,60,1
"2016-11-01 00:12","2016-11-01 09:41",21840,11820,0,480,1
"2016-11-01 23:14","2016-11-02 06:40",18360,7200,0,1200,1
"2016-11-02 23:54","2016-11-03 06:46",14400,10080,0,240,1
"2016-11-04 01:01","2016-11-04 06:11",11940,5820,0,840,1
"2016-11-05 01:21","2016-11-05 07:43",10140,11760,0,1020,1
"2016-11-06 00:34","2016-11-06 07:40",13800,11340,0,420,1
"2016-11-06 23:26","2016-11-07 06:17",15480,8160,0,1020,2
"2016-11-09 00:26","2016-11-09 07:55",16560,9900,0,480,1
"2016-11-10 00:10","2016-11-10 06:47",12540,9780,0,1500,2
"2016-11-11 01:44","2016-11-11 08:56",16200,9480,0,240,1
"2016-11-12 01:11","2016-11-12 09:05",20160,7680,0,600,1
"2016-11-13 21:03","2016-11-14 06:32",19140,13260,0,1740,3
"2016-11-13 01:14","2016-11-13 10:25",21780,10560,0,720,1
"2016-11-08 02:27","2016-11-08 08:14",12900,6540,0,1380,2
"2016-11-14 23:17","2016-11-15 06:32",16500,8640,0,960,2
"2016-11-15 22:41","2016-11-16 06:36",17760,9600,0,1140,1
"2016-11-16 23:44","2016-11-17 06:16",13320,9240,0,960,2
"2016-11-17 23:23","2016-11-18 06:12",17700,6000,0,840,1
"2016-11-18 23:38","2016-11-19 10:46",27000,12540,0,540,1
"2016-11-19 23:47","2016-11-20 09:30",20400,13440,0,1140,2
"2016-11-20 23:06","2016-11-21 06:27",16740,8640,0,1080,2
"2016-11-21 23:55","2016-11-22 06:17",15660,6600,0,660,1
"2016-11-22 22:56","2016-11-23 07:20",19620,9720,0,900,1
"2016-11-23 17:42","2016-11-23 19:26",2040,3540,0,660,1
"2016-11-23 11:32","2016-11-23 13:35",3180,3360,0,840,1
"2016-11-23 23:21","2016-11-24 06:18",19620,4800,0,600,1
"2016-11-24 23:06","2016-11-25 06:00",16500,8340,0,0,0
"2016-11-26 01:34","2016-11-26 07:43",14160,7140,0,840,2
"2016-11-26 23:39","2016-11-27 10:01",25260,11580,0,480,1
"2016-11-27 23:50","2016-11-28 06:38",15600,7740,0,1140,1
"2016-11-28 23:48","2016-11-29 06:02",15240,6840,0,360,0
"2016-11-29 22:34","2016-11-30 05:28",16560,7320,0,960,2
"2016-11-30 23:41","2016-12-01 05:43",14160,6540,0,1020,1
"2016-12-02 08:41","2016-12-02 11:14",900,6840,0,1440,1
"2016-12-01 21:39","2016-12-02 04:44",15720,8880,0,900,2
"2016-12-02 23:57","2016-12-03 10:22",24240,12900,0,360,1
"2016-12-03 21:18","2016-12-04 10:17",30360,15660,0,720,1
"2016-12-04 23:32","2016-12-05 06:01",13560,9780,0,0,0
"2016-12-05 22:31","2016-12-06 06:05",16680,10140,0,420,1
"2016-12-06 22:37","2016-12-07 06:37",16500,10920,0,1380,2
"2016-12-08 00:03","2016-12-08 06:29",13080,8760,0,1320,2
"2016-12-08 23:48","2016-12-09 06:22",12300,10320,0,1020,3
"2016-12-10 00:21","2016-12-10 10:13",19260,15840,0,420,1
"2016-12-11 00:51","2016-12-11 10:50",24000,11040,0,900,1
"2016-12-12 00:23","2016-12-12 06:32",14160,7320,0,660,1
"2016-12-13 00:30","2016-12-13 06:15",13140,6540,0,1020,1
"2016-12-13 23:41","2016-12-14 06:44",14700,9180,0,1500,1
"2016-12-14 23:29","2016-12-15 06:43",14160,10680,0,1200,2
"2016-12-15 23:54","2016-12-16 06:39",12720,10620,0,960,2
"2016-12-16 23:29","2016-12-17 07:42",20340,8700,0,540,1
"2016-12-17 22:23","2016-12-18 09:33",24180,15540,0,480,1
"2016-12-18 23:00","2016-12-19 06:40",19860,7260,0,480,1
"2016-12-19 23:02","2016-12-20 06:51",19380,8280,0,480,3
"2016-12-20 23:07","2016-12-21 08:05",19020,11940,0,1320,3
"2016-12-22 01:05","2016-12-22 09:39",20881,9839,0,120,0
"2016-12-23 00:12","2016-12-23 09:48",23040,11100,0,420,1
"2016-12-23 22:34","2016-12-24 08:41",22260,13920,0,240,1
"2016-12-25 01:03","2016-12-25 09:18",21480,8040,0,180,0
"2016-12-26 01:35","2016-12-26 09:53",23280,5400,0,1200,2
"2016-12-27 00:18","2016-12-27 11:21",28740,9900,0,1140,2
"2016-12-27 23:50","2016-12-28 09:55",25620,10680,0,0,0
"2016-12-28 23:42","2016-12-29 09:47",25260,11040,0,0,0
"2016-12-30 01:28","2016-12-30 10:00",22200,8460,0,60,0
"2016-12-31 14:38","2016-12-31 18:10",8520,3840,0,360,0
"2016-12-31 01:43","2016-12-31 09:31",20220,7440,0,420,1
"2017-01-01 04:53","2017-01-01 11:54",17760,6420,0,1080,1
"2017-01-01 23:56","2017-01-02 06:38",15540,7740,0,840,2
"2017-01-02 23:54","2017-01-03 06:17",13080,8700,0,1200,1
"2017-01-04 08:04","2017-01-04 16:01",17880,9840,0,900,1
"2017-01-05 08:28","2017-01-05 14:43",15000,6720,0,780,1
"2017-01-06 08:09","2017-01-06 15:50",17220,9540,0,900,2
"2017-01-07 09:57","2017-01-07 16:15",13500,8640,0,540,1
"2017-01-08 07:31","2017-01-08 16:09",20400,10500,0,180,0
"2017-01-10 22:22","2017-01-11 06:35",19320,10080,0,180,1
"2017-01-11 23:17","2017-01-12 06:57",13200,13140,0,1260,2
"2017-01-09 10:15","2017-01-09 15:15",13200,4500,0,300,1
"2017-01-12 23:57","2017-01-13 06:41",10560,12480,0,1200,2
"2017-01-13 23:05","2017-01-14 11:17",28199,15241,0,480,1
"2017-01-15 00:07","2017-01-15 10:14",21420,14220,0,780,2
"2017-01-16 00:14","2017-01-16 06:28",13260,8640,0,540,1
"2017-01-17 01:12","2017-01-17 06:20",10800,7680,0,0,0
"2017-01-17 23:27","2017-01-18 06:53",13140,12180,0,1440,1
"2017-01-18 23:06","2017-01-19 06:55",15540,11220,0,1380,2
"2017-01-20 00:41","2017-01-20 06:43",11940,8700,0,1080,2
"2017-01-21 00:47","2017-01-21 11:13",22380,15180,0,0,0
"2017-01-22 00:23","2017-01-22 09:59",20940,13620,0,0,0
